concept_id,icd10_code,icd10_name
435243,F10.28,Alcohol dependence with other alcohol-induced disorders
435243,F10.280,Alcohol dependence with alcohol-induced anxiety disorder
435243,F10.281,Alcohol dependence with alcohol-induced sexual dysfunction
435243,F10.282,Alcohol dependence with alcohol-induced sleep disorder
435243,F10.288,Alcohol dependence with other alcohol-induced disorder
435243,F10.29,Alcohol dependence with unspecified alcohol-induced disorder
436682,F71,Moderate intellectual disabilities
436682,F71,Moderate mental retardation
436682,F71.0,"Moderate mental retardation, with the statement of no, or minimal, impairment of behaviour"
436682,F71.1,"Moderate mental retardation, significant impairment of behaviour requiring attention or treatment"
436682,F71.8,"Moderate mental retardation, other impairments of behaviour"
436682,F71.9,"Moderate mental retardation, without mention of impairment of behaviour"
437530,E78,Disorders of lipoprotein metabolism and other lipidemias
437530,E78,Disorders of lipoprotein metabolism and other lipidaemias
437530,E78.8,Other disorders of lipoprotein metabolism
437530,E78.89,Other lipoprotein metabolism disorders
437530,E78.9,"Disorder of lipoprotein metabolism, unspecified"
438120,F11.2,Opioid dependence
438120,F11.2,"Mental and behavioural disorders due to use of opioids, dependence syndrome"
438120,F11.20,"Opioid dependence, uncomplicated"
438120,F11.22,Opioid dependence with intoxication
438120,F11.220,"Opioid dependence with intoxication, uncomplicated"
438120,F11.221,Opioid dependence with intoxication delirium
438120,F11.222,Opioid dependence with intoxication with perceptual disturbance
438120,F11.229,"Opioid dependence with intoxication, unspecified"
438120,F11.23,Opioid dependence with withdrawal
438120,F11.24,Opioid dependence with opioid-induced mood disorder
438120,F11.25,Opioid dependence with opioid-induced psychotic disorder
438120,F11.250,Opioid dependence with opioid-induced psychotic disorder with delusions
438120,F11.251,Opioid dependence with opioid-induced psychotic disorder with hallucinations
438120,F11.259,"Opioid dependence with opioid-induced psychotic disorder, unspecified"
438120,F11.28,Opioid dependence with other opioid-induced disorder
438120,F11.281,Opioid dependence with opioid-induced sexual dysfunction
438120,F11.282,Opioid dependence with opioid-induced sleep disorder
438120,F11.288,Opioid dependence with other opioid-induced disorder
438120,F11.29,Opioid dependence with unspecified opioid-induced disorder
438409,F90,Attention-deficit hyperactivity disorders
438409,F90,Hyperkinetic disorders
438409,F90.8,"Attention-deficit hyperactivity disorder, other type"
438409,F90.8,Other hyperkinetic disorders
438409,F90.9,"Attention-deficit hyperactivity disorder, unspecified type"
438409,F90.9,"Hyperkinetic disorder, unspecified"
439776,F84,Pervasive developmental disorders
439776,F84.0,Autistic disorder
439776,F84.8,Other pervasive developmental disorders
439776,F84.9,"Pervasive developmental disorder, unspecified"
439846,I50.1,"Left ventricular failure, unspecified"
439846,I50.1,Left ventricular failure
4068155,I48,Atrial fibrillation and flutter
4068155,I48.9,Unspecified atrial fibrillation and atrial flutter
4068155,I48.9,"Atrial fibrillation and atrial flutter, unspecified"
4077577,F33.1,"Major depressive disorder, recurrent, moderate"
4077577,F33.1,"Recurrent depressive disorder, current episode moderate"
44784217,I49,Other cardiac arrhythmias
44784217,I49.8,Other specified cardiac arrhythmias
44784217,I49.9,"Cardiac arrhythmia, unspecified"
